title,institution,country,deadline,posted_date,effective_date,age_days,freshness,url,source,relevance_score,matched_anchors,matched_keywords,short_description,position_type,is_new,match_score,match_explanation,match_score,match_explanation
"PhD Studentship: Efficient Long-Horizon Task Execution in Physical AI (Deep learning, Computer Vision, Robotics)",Durham University,United Kingdom,2026-08-15,,2026-08-15,0,deadline,https://www.jobs.ac.uk/job/DSL079/phd-studentship-efficient-long-horizon-task-execution-in-physical-ai-deep-learning-computer-vision-robotics,jobs_ac_uk,17.0,deep learning; robotics; computer vision,deep learning; robotics; computer vision; PhD; efficient,,phd,True,,,,
"PhD Studentship: Efficient Physical AI: Data-Efficient Training and Edge Deployment of Compact Robot Foundation Models (Robotics, Deep learning, Computer vision)",Durham University,United Kingdom,2026-08-15,,2026-08-15,0,deadline,https://www.jobs.ac.uk/job/DSL085/phd-studentship-efficient-physical-ai-data-efficient-training-and-edge-deployment-of-compact-robot-foundation-models-robotics-deep-learning-computer-vision,jobs_ac_uk,17.0,deep learning; robotics; computer vision,deep learning; robotics; computer vision; PhD; efficient,,phd,True,,,,
PhD Studentship: PhD Opportunity Title PhD Scholarship in Computer Science / Machine Learning with Earth Observation for forest related applications - PhD (Funded),University of Exeter (ESE),United Kingdom,2026-08-24,,2026-08-24,0,deadline,https://www.jobs.ac.uk/job/DSF287/phd-studentship-phd-opportunity-title-phd-scholarship-in-computer-science-machine-learning-with-earth-observation-for-forest-related-applications-phd-funded,jobs_ac_uk,12.0,computer science; machine learning,computer science; machine learning; PhD; scholar,,phd,True,,,,
PhD Position: Generative Machine Learning for Molecular Thin Films (physics degree required),Heidelberg University,Germany,2026-09-30,2026-08-03,2026-09-30,0,deadline,https://euraxess.ec.europa.eu/jobs/458142,euraxess,7.5,machine learning,machine learning; PhD; university; candidate; theoretical,"A fully funded PhD position is available in the group of Prof. Tristan Bereau at the Institute for Theoretical Physics, Heidelberg University, in collaboration with the group of Prof. Ullrich Köthe (IWR Heidelberg, ELLIS).ProjectThe successful candidate will develop generative machine-learning...",phd,True,,,,
Doctoral researcher in Machine Learning Security & Testing,University of Luxembourg,Luxembourg,,,2026-06-26,39,page_date,https://www.nature.com/naturecareers/job/12861128/doctoral-researcher-in-machine-learning-security-and-testing/,nature_careers,7.5,machine learning,machine learning; research; doctoral; university,About usThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Interd,phd,True,,,,
Doctoral researcher in Machine Learning for Official Statistics,University of Luxembourg,Luxembourg,,,2026-06-26,39,page_date,https://www.nature.com/naturecareers/job/12861129/doctoral-researcher-in-machine-learning-for-official-statistics/,nature_careers,7.5,machine learning,machine learning; research; doctoral; university,About usThe University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character.The Interd,phd,True,,,,
PhD Studentship: Development of a Clinical HFNC Decision Support System: Using Machine Learning to Help Clinicians Predict the Outcome of HFNC Therapy,University of Warwick (School of Engineering),United Kingdom,2026-08-17,,2026-08-17,0,deadline,https://www.jobs.ac.uk/job/DSK412/phd-studentship-development-of-a-clinical-hfnc-decision-support-system-using-machine-learning-to-help-clinicians-predict-the-outcome-of-hfnc-therapy,jobs_ac_uk,7.0,machine learning,machine learning; PhD; system,,phd,True,,,,
"Fully Funded PhD Studentship in Medical Biostatistics, Causal Inference and Statistical Machine Learning: Developing Novel Statistical Methods for Causal Inference Using Electronic Health Records",University of Limerick (School of Medicine),United Kingdom,2026-08-24,,2026-08-24,0,deadline,https://www.jobs.ac.uk/job/DSE237/fully-funded-phd-studentship-in-medical-biostatistics-causal-inference-and-statistical-machine-learning-developing-novel-statistical-methods-for-causal-inference-using-electronic-health-records,jobs_ac_uk,7.0,machine learning,machine learning; PhD; novel,,phd,True,,,,
PhD in Computer Science,University of Cambridge — Department of Computer Science and Technology,United Kingdom,,,2026-08-04,0,undated_new,https://www.cst.cam.ac.uk/admissions/phd,uni_departments,6.5,computer science,computer science; PhD; university,"PhD in Computer Science — listed by University of Cambridge — Department of Computer Science and Technology, an astronomy/astrophysics institute",phd,True,,,,
PhD Studentship (m/f/x) in Geometric Deep Learning,HITS gGmbH (Heidelberg Institute for Theoretical Studies),Germany,2026-08-12,,2026-08-12,0,deadline,https://www.jobs.ac.uk/job/DRN676/phd-studentship-m-f-x-in-geometric-deep-learning,jobs_ac_uk,6.0,deep learning,deep learning; PhD,,phd,True,,,,
PhD Studentship: Machine Learning Accelerated Electronic Transport Calculations For Complex Materials,"University of Warwick (Centre for Doctoral Training in the Modelling of Heterogeneous Materials (HetSys), School of Engineering)",United Kingdom,2026-08-28,,2026-08-28,0,deadline,https://www.jobs.ac.uk/job/DRM440/phd-studentship-machine-learning-accelerated-electronic-transport-calculations-for-complex-materials,jobs_ac_uk,6.0,machine learning,machine learning; PhD,,phd,True,,,,
